Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
UNIP3;61,10;8,69;2,46;1,223;13,04%;0,917;3,40;7,62;-4,23;8,78;6,44;16,05%;14,03%;2,96;16,80%;28,31%;602.129,00;2.809.930.000,00;1,00;-2,26%
TMGC12;550,00;8,71;1,12;0,800;0,00%;0,770;4,66;12,27;8,22;10,94;10,94;6,52%;9,18%;1,69;8,73%;12,83%;0,00;1.167.010.000,00;0,05;10,49%
ACES4;94,73;8,74;2,27;1,683;0,00%;1,430;6,37;7,16;20,65;6,50;6,50;23,52%;19,27%;2,05;26,90%;25,95%;0,00;3.105.800.000,00;0,09;13,34%
ACES3;95,27;8,79;2,28;1,693;0,00%;1,438;6,40;7,20;20,77;6,54;6,54;23,52%;19,27%;2,05;26,90%;25,95%;0,00;3.105.800.000,00;0,09;13,34%
ENGI3;13,13;8,80;1,65;0,856;4,41%;0,379;9,00;4,56;-0,78;8,98;6,90;18,76%;12,43%;1,23;9,69%;18,74%;105.409,00;18.226.900.000,00;2,07;10,20%
ANIM3;3,07;8,82;0,52;0,320;1,74%;0,124;0,96;1,15;-0,26;4,87;3,46;27,85%;7,21%;2,22;12,94%;5,91%;19.339.100,00;2.379.050.000,00;2,30;18,69%
EKTR4;44,01;8,85;3,66;0,892;11,94%;0,694;13,75;3,71;-1,26;6,68;5,66;24,00%;10,08%;1,24;20,97%;41,32%;13.336,40;2.333.000.000,00;3,18;4,88%
FIQE3;4,37;8,88;1,25;1,469;6,16%;0,687;7,99;5,96;-3,27;6,85;3,55;24,64%;16,54%;1,56;13,74%;14,08%;1.511.240,00;1.265.580.000,00;0,44;23,24%
CZRS4;2,49;8,89;0,30;0,000;0,00%;0,000;0,00;0,00;0,00;0,00;0,00;0,00%;0,00%;0,00;0,00%;3,34%;0,00;1.145.670.000,00;0,00;14,44%
CRFB3;8,48;8,92;0,84;0,150;1,12%;0,190;-25,37;3,73;-0,68;7,24;5,24;4,03%;1,86%;0,98;6,58%;9,36%;0,00;21.416.000.000,00;1,11;12,50%
AFLU5;5,03;8,93;2,14;2,911;0,00%;1,875;9,63;8,32;11,92;7,38;7,05;34,98%;32,59%;3,27;31,18%;23,93%;0,00;44.270.000,00;0,00;8,61%
VIVO3;65,79;8,99;2,69;1,366;0,00%;1,175;-29,21;6,21;-4,74;6,65;6,65;22,01%;15,20%;0,89;23,92%;29,88%;0,00;9.816.290.000,00;0,35;13,06%
GOAU3;10,18;8,99;0,52;0,146;3,40%;0,116;0,46;1,60;6,23;3,04;1,97;9,15%;4,78%;2,89;8,74%;5,81%;356.186,00;19.373.900.000,00;0,93;-0,49%
CNFB4;5,99;9,01;1,57;1,511;0,00%;0,872;3,47;8,27;53,95;10,05;7,85;18,27%;16,77%;2,20;12,01%;17,39%;0,00;1.552.470.000,00;0,47;-10,61%
